,,0
E_LowWageWk,AutoOwn1,0.6230203382158896
E_LowWageWk,AutoOwn2p,0.5502189703912571
E_LowWageWk,Workers,0.6487929103014886
E_LowWageWk,R_LowWageWk,0.7204446848207837
E_LowWageWk,R_MedWageWk,0.566093424702116
E_LowWageWk,R_HiWageWk,0.5410750212224509
E_LowWageWk,TotEmp,0.8965784689182387
E_LowWageWk,E5_Ret,0.8701106779268637
E_LowWageWk,E5_Off,0.6318592688082033
E_LowWageWk,E5_Svc,0.7897159364264413
E_LowWageWk,E5_Ent,0.666630084436517
E_LowWageWk,E8_Ret,0.8701106779268637
E_LowWageWk,E8_off,0.6422945909190917
E_LowWageWk,E8_Svc,0.6758155748648038
E_LowWageWk,E8_Ent,0.666630084436517
E_LowWageWk,E8_Ed,0.5492952124693128
E_LowWageWk,E8_Hlth,0.685084818858201
E_LowWageWk,E_LowWageWk,1.0
E_LowWageWk,E_MedWageWk,0.8957772458085118
E_LowWageWk,E_HiWageWk,0.7031344961048849
E_MedWageWk,TotPop,0.6727386693888752
E_MedWageWk,HH,0.698452970387415
E_MedWageWk,AutoOwn1,0.6818808650685219
E_MedWageWk,AutoOwn2p,0.5272179702388615
E_MedWageWk,Workers,0.641602505833033
E_MedWageWk,R_LowWageWk,0.6575976141543021
E_MedWageWk,R_MedWageWk,0.6622144698372101
E_MedWageWk,TotEmp,0.9077639999359336
E_MedWageWk,E5_Ret,0.8422177915212677
E_MedWageWk,E5_Off,0.6282644212145693
E_MedWageWk,E5_Ind,0.5755725356563197
E_MedWageWk,E5_Svc,0.7679243248413602
E_MedWageWk,E5_Ent,0.653380995819854
E_MedWageWk,E8_Ret,0.8422177915212677
E_MedWageWk,E8_off,0.626996407998255
E_MedWageWk,E8_Ind,0.5755725356563197
E_MedWageWk,E8_Svc,0.6748563284568582
E_MedWageWk,E8_Ent,0.653380995819854
E_MedWageWk,E8_Hlth,0.6820320068667969
E_MedWageWk,E_LowWageWk,0.8957772458085118
E_MedWageWk,E_MedWageWk,1.0
E_MedWageWk,E_HiWageWk,0.7064791364944074
E_HiWageWk,HH,0.5181434343221224
E_HiWageWk,P_WrkAge,0.5077046976747551
E_HiWageWk,Workers,0.5902867494529781
E_HiWageWk,R_HiWageWk,0.6863614690839871
E_HiWageWk,TotEmp,0.9297908607232502
E_HiWageWk,E5_Ret,0.6512259922143383
E_HiWageWk,E5_Off,0.798315712871256
E_HiWageWk,E5_Ind,0.6208621226270596
E_HiWageWk,E5_Svc,0.852343286342655
E_HiWageWk,E8_Ret,0.6512259922143383
E_HiWageWk,E8_off,0.8147273903266203
E_HiWageWk,E8_Ind,0.6208621226270596
E_HiWageWk,E8_Svc,0.8494759643972694
E_HiWageWk,E8_Ed,0.5053692735892075
E_HiWageWk,E8_Hlth,0.6249183752508912
E_HiWageWk,E_LowWageWk,0.7031344961048849
E_HiWageWk,E_MedWageWk,0.7064791364944074
E_HiWageWk,E_HiWageWk,1.0
E_HiWageWk,D3A,0.5284644424137018
E_HiWageWk,D3AAO,0.5207475947662478
E_HiWageWk,D3BPO3,0.5399159946685631
E_HiWageWk,D3B_Ranked,0.5062218179706859
E_HiWageWk,NatWalkInd,0.5314061930851133
E_PctLowWage,R_PCTLOWWAGE,0.5784013783844566
E_PctLowWage,E_PctLowWage,1.0
D1A,AutoOwn0,0.8705892319083518
D1A,Pct_AO0,0.7792381766928723
D1A,Pct_AO2p,-0.508136675862561
D1A,D1A,1.0
D1A,D1B,0.9824387867833538
D1A,D1C,0.9023960617535044
D1A,D1C5_RET,0.8553098158982413
D1A,D1C5_OFF,0.790593364419394
D1A,D1C5_IND,0.7696345345145323
D1A,D1C5_SVC,0.9036666897984662
D1A,D1C5_ENT,0.8638979183700323
D1A,D1C8_RET,0.8553098158982413
D1A,D1C8_OFF,0.8358599860601249
D1A,D1C8_IND,0.7696345345145323
D1A,D1C8_SVC,0.8584089773178687
D1A,D1C8_ENT,0.8638979183700323
D1A,D1C8_ED,0.5858250510401839
D1A,D1C8_HLTH,0.9363483452398416
D1A,D1D,0.9719540941120347
D1A,D3A,0.5291782209059841
D1A,D3AMM,0.7024683795625684
D1A,D3BAO,0.5898983349117497
D1A,D3BMM4,0.6719792407201285
D1A,D4B025,0.8871299578714134
D1A,D4B050,0.8187829397925227
D1A,D4C,0.9026821515823258
D1A,D4D,0.931534305431259
D1A,D4E,0.7571800539998986
D1A,D5AR,0.7046293823599173
D1A,D5AE,0.6621676424554424
D1A,D5BR,0.9534142890403673
D1A,D5BE,0.951878588088398
